id,exercise_id,file_path,metadata_file,status,provenance,added_at
256,MAT_P4FUNCOE_2FUN_002_solution,,MAT_P4FUNCOE_2FUN_001.json,auto-added,auto-repair,2025-12-03T10:49:31.814788
257,MAT_P4FUNCOE_4FX_DAX_006_solution,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
258,MAT_P4FUNCOE_4FX_DAX_019_solution,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
259,MAT_P4FUNCOE_4FX_DAX_023_solution,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
260,MAT_P4FUNCOE_FUNC_DA_001.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
261,MAT_P4FUNCOE_FUNC_DA_001.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
262,MAT_P4FUNCOE_FUNC_DA_002.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
263,MAT_P4FUNCOE_FUNC_DA_002.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
264,MAT_P4FUNCOE_FUNC_DA_003.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
265,MAT_P4FUNCOE_FUNC_DA_003.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
266,MAT_P4FUNCOE_4FIN_ANA_001.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
267,MAT_P4FUNCOE_4FIN_ANA_001.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
268,MAT_P4FUNCOE_4FIN_ANA_002.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
269,MAT_P4FUNCOE_4FIN_ANA_002.bak_agent_20251127T121826Z,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
270,MAT_P4FUNCOE_4FIN_ANA_003.agentfix,,metadata.json,auto-added,auto-repair,2025-12-03T10:49:31.846257
