folder_path,metadata_file,disciplina,tema,conceito,tipo,descricao,tags,difficulty_min,difficulty_max,has_subvariants,num_exercises_listed,sample_exercises,sibling_jsons,warnings
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\estudo_monotonia\monotonia_pura,metadata.json,matematica,A12_otimizacao,estudo_monotonia,monotonia_pura,Exercícios com funções abstratas para estudar monotonia usando derivadas.,"[""monotonia"", ""derivadas"", ""funcoes_abstratas"", ""crescente"", ""decrescente""]",2,3,False,2,"[""MAT_A12OTIMI_ESTU_MPU_001"", ""MAT_A12OTIMI_ESTU_MPU_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\estudo_monotonia\monotonia_real,metadata.json,matematica,A12_otimizacao,estudo_monotonia,monotonia_real,Exercícios com contextos reais onde a monotonia é usada como método de análise.,"[""monotonia"", ""derivadas"", ""contexto_real"", ""modelacao""]",2,3,False,1,"[""MAT_A12OTIMI_EXX_MRX_001""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\estudo_monotonia\problema_real_monotonia,metadata.json,matematica,A12_otimizacao,estudo_monotonia,problema_real_monotonia,Exercícios de problema real monotonia,"[""problema_real"", ""otimização"", ""monotonia""]",1,3,False,2,"[""MAT_A12OTIMI_EXX_PRM_001"", ""MAT_A12OTIMI_EXX_PRM_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\problemas_simples_otimizacao\modelagem,metadata.json,matematica,A12_otimizacao,problemas_simples_otimizacao,modelagem,Problemas do tipo f(x)=a onde f(x) modela um contexto real e os alunos interpretam e resolvem.,"[""modelagem"", ""funcao"", ""interpretacao"", ""contexto_real""]",2,3,False,2,"[""MAT_A12OTIMI_PROB_MOD_001"", ""MAT_A12OTIMI_PROB_MOD_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\problemas_simples_otimizacao\problemas_de_rampas,metadata.json,matematica,A12_otimizacao,problemas_simples_otimizacao,problemas_de_rampas,"Usar trigonometria para calcular ângulo de inclinação de rampas (ex: acessibilidade para cadeira de rodas), dado comprimento e altura.","[""trigonometria"", ""rampas"", ""acessibilidade"", ""angulo""]",2,3,False,2,"[""MAT_A12OTIMI_PROB_RAM_001"", ""MAT_A12OTIMI_PROB_RAM_002""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A12_otimizacao\problemas_simples_otimizacao\triangulos_ret_puros,metadata.json,matematica,A12_otimizacao,problemas_simples_otimizacao,triangulos_ret_puros,Determinar vértices de um triângulo retângulo sabendo que dois pertencem ao gráfico de uma função específica.,"[""triangulo_retangulo"", ""vertices"", ""funcao"", ""coordenadas""]",2,3,False,1,"[""MAT_A12OTIMI_PXX_TRP_001""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A7_probabilidade\1-eventos_e_espaco_amostral\simples,metadata.json,matematica,A7_probabilidade,1-eventos_e_espaco_amostral,simples,simples,"[""simples""]",2,4,False,1,"[""MAT_A7PROBAB_1EX_SXX_001""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A8_modelos_discretos\1-sistemas_numericos\determinacao_valores,metadata.json,matematica,A8_modelos_discretos,1-sistemas_numericos,determinacao_valores,"Traduzir diferentes sistemas numéricos uns nos outros, como por exemplo, traduzir 10 em número binário.","[""Representa""]",2,4,False,3,"[""MAT_A8MODELO_1SX_DVX_001"", ""MAT_A8MODELO_1SX_DVX_002"", ""MAT_A8MODELO_1SX_DVX_003""]",[],[]
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A8_modelos_discretos\1-sistemas_numericos\numeros_figurados,metadata.json,,A8_modelos_discretos,,numeros_figurados,"Exercícios sobre sucessões de números figurados, com representação visual e conversão entre sistemas de numeração.","[""números figurados"", ""sucessões"", ""sistemas de numeração"", ""conversão de bases"", ""regra da sucessão""]",,,False,14,"[""MAT_A8MODELO_1SX_NFX_001"", ""MAT_A8MODELO_1SX_NFX_002"", ""MAT_A8MODELO_1SX_NFX_003""]",[],"[""missing_disciplina"", ""missing_conceito""]"
C:\Users\diogo\projects\To_Exercises\ExerciseDatabase\matematica\A9_funcoes_crescimento\0-revisoes\aplicacoes_praticas,MAT_A9FUNCRE_0REV_APL_001.json,matematica,A9_funcoes_crescimento,0-revisoes,aplicacoes_praticas,,"[""revisao"", ""proporcionalidade"", ""aplicacao_pratica"", ""razao""]",2,2,False,0,[],"[""MAT_A9FUNCRE_0REV_APL_002.json"", ""metadata.json""]","[""no_exercises_listed""]"
